name,authors,year,journal,title,outcome,treat,iv,unit_of_analysis,multiple_cases,iv_type,iv_subtype,experimental,ols_report_coef,ols_report_se,f_report,original_estimation_f_type,iv_report_coef,iv_report_se,iv_report_t,expected_ols_upward_bias,late_defense,late_framework_possible,justify_magnitude,ols_in_main,boot_se,original_code,iv_model,ols_model,selling_null
Acharya2016,"Acharya A,Blackwell M,Sen M",2016,JOP,The political legacy of American slavery,proportion Democrat,slave proportion in 1860,measures of the environmental suitability for growing cotton,county,0,theory,history,0,-0.127,0.043,80.077,standard,-0.277,0.104,2.66,0,0,0,0,1,0,"Formula(. ~ pslave1860 + log(coarea00) + rugged + latitude + I(latitude^2) + longitude + I(longitude^2)  + water1860  + state.abb | cottonsuit + log(coarea00) + rugged  + latitude + I(latitude^2) + longitude + I(longitude^2) + water1860  + state.abb)  ivreg(update(base.iv.form, dem ~ .), data = south.counties, weights = sample.size)",table 2(2),table 1(2),0
Alt2015,"Alt JE,Lassen DD,Marshall J",2015,JOP,Credible Sources and Sophisticated Voters: When Does New Information Induce Economic Voting?,vote intention,unemployment expectations,assignment to receiving an aggregate unemployment forecast,individual,0,experiment,na,1,NA,NA,32.6,robust,-0.035,0.014,2.5,0,0,0,0,0,0,"xi: ivreg2 `y' (urate_fut = i.treatment) urate_now, ro first",table 2(1),,0
Arias2019,"Arias E,Stasavage D",2019,JOP,How Large Are the Political Costs of Fiscal Austerity?,regular leader turnover,government expenditures,trade shock * UK bond yield,country * year,0,econometrics,interaction,0,0.01,0.033,14.85,cluster,0.828,1.703,0.49,0,0,0,0,1,0,"reghdfe `y' shock_rgc_trade (dexpenditures=interact) , a(ccode year c.year#i.ccode) vce(cl ccode year)",table3(2),table2(2),1
Baccini2021,"LEONARDO BACCINI,STEPHEN WEYMOUTH",2021,APSR,"Gone For Good: Deindustrialization, White Voter Backlash, and US Presidential Voting",Change of Democratic Vote Share,Manufacturing Layoffs,Bartik instrument,county,0,econometrics,interaction,0,NA,NA,468.62,robust,-0.043,0.019,2.26,0,0,0,0,0,0,"xi: ivreg2 ddem_votes_pct1 LAU_unemp_rate_4y pers_m_total_share_4y pers_coll_share_4y white_counties_4y msl_service_pc4y (msl_pc4y2= bartik_leo5) i.id_state if year==2016, r partial(i.id_state) first",table2(3),,0
Barth2015,"Barth E,Finseraas H,Moene KO",2015,AJPS,Political Reinforcement: How Rising Inequality Curbs Manifested Welfare Generosity,welfare support,wage inequality,adjusted bargaining coverage; effective number of union confederations,country * year,0,theory,other,0,-0.717,0.249,11.69,cluster,-1.426,0.722,1.98,0,0,0,0,1,0,"xtivreg2 welfareleft lgdpgr lelderly llntexp lud ludsq lechp lnet lannual ltrend ltrendsq  (ld9d1= l2ip_adjcov5 l2ip_enucfs), fe first cluster(countrynumber)",table4(1),table1(1),0
Bhavnani2018,"Bhavnani RR,Lee A",2018,JOP,Local Embeddedness and Bureaucratic Performance: Evidence from India,Proportion of villages with high schools,bureaucrats’ embeddedness,early-career job assignment,district * period,0,theory,other,0,0.019,0.011,108,cluster,0.022,0.01,2.2,0,1,0,LATE,1,0,"xi: ivreg2 Phigh (ALLlocal=EXALLlocal) ALLbachdivi $prefcontrols i.distcode71 i.year, robust cl(distcode71) ffirst partial(_Idistcode7*) savefprefix(r)",table1(4),table1(3),0
Blair2022,"Robert A. Blair, Jessica Di Salvatore, Hannah M. Smidt",2021,AJPS,When Do UN Peacekeeping Operations Implement Their Mandates?,process performance,fragmentation of any given PKO mandate,average fragmentation of all ongoing PKO mandates,country*year,0,theory,other,0,-1.122,0.336,43.925,robust,-1.765,0.805,2.19,0,0,0,0,1,0,"eststo: xi: xtivreg2 sh_perfassist_pb l.experman_assist_pbv3 l.numtask_assist_pbv3  i.year $control1 (l.avg=l.i_fract_assistv3), fe robust first savefirst savefprefix(st3)",table D7(3),table D6(3),0
Blattman2014,"Blattman C,Hartman AC,Blair RA",2014,APSR,How to Promote Order and Property Rights under Weak Rule of Law? An Experiment in Changing Dispute Resolution Behavior through Community Education,serious land dispute,mass education campaign for dispute resolution,assignment to treatment blocks,resident,0,experiment,na,1,NA,NA,226,cluster,0.0009,0.0004,2.25,0,0,1,0,0,0,svy: ivregress 2sls fightweap_dummy  $ate_ctrls $comm_ctrls_short trainee (months_treated = block1 block2 block3) if resident==1 & assigned_ever==1,table 9(8),,0
Carnegie2017,"Carnegie A,Marinov N",2017,AJPS,"Foreign Aid, Human Rights, and Democracy Promotion: Evidence from a Natural Experiment",CIRI Human Empowerment index,foreign aid,being a former colony of one of the Council members,country * year,0,theory,history,0,NA,NA,10.85,cluster,1.705,0.811,2.1,-1,1,1,LATE,0,0,"ivreg2 new_empinxavg (EV = l2CPcol2) _I* cov* if year >= 1987, robust cluster(ccode year) partial(_I*)  nofooter first",table1(2),,0
Charron2013,"Charron N,Lapuente V",2013,JOP,Why Do Some Regions in Europe Have a Higher Quality of Government?,quality of governments,clientelism,consolidation of clientelistic networks in regions where rulers have historically less constraints to their decisions,region,0,theory,history,0,NA,NA,30.5,robust,0.02,0.004,5,0,0,0,0,0,0,"ivregress 2sls eqi  logpop capitalregion ger it uk urb_1860_1850_30 ( pc_all4_tol = pc_institutions literacy1880 )  if clientalism!=.  , robust first",table3(2a),,0
Charron2017,"Charron N,Dahlström C,Fazekas M,Lapuente V",2017,JOP,"Careers, Connections, and Corruption Risks: Investigating the Impact of Bureaucratic Meritocracy on Public Procurement Processes",percent of single bidders,more developed bureaucracy,proportion of Protestant residents in a region; aggregate literacy in 1880,procurement contract,0,theory,history,0,NA,NA,23.2,robust,-0.15,0.03,5,0,0,0,0,0,0,"ivreg2 lcri_euc1_r logpopdens logppp11 trust pctwomenparl (pubmerit= pctprot litrate_1880) [w=eu_popweights ], r first",table5(4),table3(8),0
